tweet_text,cyberbullying_type
so u can kiss our diverse unified multicolored behinds bc your racism amp your terrorism will not win the day,ethnicity
aye yall get her ass rt fuck obama dumb ass nigger,ethnicity
lol hahah that one easy can bully,not_cyberbullying
yes osama bin laden was also struggling for truth that how america is so rich bagdadi was struggling for truth that how world believe in humanity muslim like u is shield for terrorist that is only jihad ting se le ke tong ting se le ke tong,religion
i would but my time is super limited these next few days im about to have to run too many meetings,other_cyberbullying
strip clubs open public schools closed maybe strippers need to unionize,age
— first impression u seem nice — a nickname id give you idk — emoji that fits you im sorry i cant think of one — do i like you yeah — you’re my mutual — to be honest we’ve never interacted before but i’ve seen u on my tl ur cool — have i ever disliked you nope,ethnicity
this made me so mad like this is something my secondary school bully would say,age
mever trust girls with a crackpipe leasing flat over a state of bullied high cons when they say ohhh ya face looks like my grandmother,age
shittygamertakes left after admitting that they bullied and harassed a high school girl,age
nan,ethnicity
only two verses and we are making progress,not_cyberbullying
he didnt use the word queer for him idiot and please i have read more ambedkar than you he said that sarvarker thinks muslims will live peacefully within a hindu majority state but he is wrong no matter how much maximum rights he give them chuslims will remain chuslims,religion
rt tonights dessert is called remains of the day mkr,not_cyberbullying
its hard for me to find good marvel schwag ive got a nice print from target lol but dc sadly does better mechandising,other_cyberbullying
shut the fuck up dumb cunt ass nigger coon cunt,ethnicity
grade school bullies have grown up to be antifa boys,age
since the feminists at sorryitsaboy amp everydaysexism now just love jokes i thought theyd like this oneright,gender
protecting shias from isis doesnt include beating peshmergas to death,not_cyberbullying
somebody in the gm was downing black women then had a wreck the universe watching you disgusting nigger,ethnicity
lmfao my moms a bully,other_cyberbullying
when you said “you’re letting the niggers run the school” is what i keep replaying in my head and i’m still sick from it and that was my freshman year you dumb fuck you ruined my high school experience you and your racist friends who are all now trump supporters,ethnicity
i had a very bad day on yearswithexo anniversarymy supervisor and workmates just a group of bitches besides i hate my parttime job ð,other_cyberbullying
they dont have my size too big,other_cyberbullying
i have a stomach ache,not_cyberbullying
rt depends on their costume am not sexist but can women league football ever get the kind of attention the m…,gender
events event suspected terror attack in jerusalem after… arab arabs islam,ethnicity
i guess the police have a history with this person repeatedly losing their dogs or something something bad has them very unhappy,not_cyberbullying
logic is rape is bad it is not about hindu muslim why do you confuse both things some idiots might think of all this be a man be proud dont live in fear fight when there is time else focus on good things why pandering,religion
im in the same boat,not_cyberbullying
does anyone have that video of the white girl sho bullied you in high school reciting her wedding vows,age
uh i am displeased that you want me to reply to these emails with more details when i file a report,not_cyberbullying
booa tarde gente boa tamo na correria hooje logo cedo participei do manisfeto da juventude de foz contra o bulling drogas violencia,not_cyberbullying
if isis has nothing to do with islam then why doesnt it attract jews himdus buddhists taoists atheists christians why only muslims,religion
white girls in your insta dms hey girl so i know we haven’t talked since i bullied you into having major body dysmorphia in high school but i have a great opportunity for you i know this sounds like a pyramid scheme lol but you’d get to be your own boss and the money is good,age
i remembered when i got bullied by this girl in high school for liking lana del rey and she called me a dumb ginger bitch guess what color this girl just dyed her hair lmaoooooo dumb ginger bitch,age
what do mean by produceover million humans were killed when allied forces invaded iraq who were they isis terrorists killed more than million who were theysame quran you misquoted earlier said in whoever kills and innocent is as if he killed the whole humanity,religion
awww she mad rt reporting live from white twitter rt fuck obama dumb ass nigger,ethnicity
sometimes my mom says such stupid shit that i have to remind myself that i protected her from knowing about much of the horrible stuff,other_cyberbullying
for some parts of the company yes a lot of freebsd devs work there,other_cyberbullying
mohammed had people murdered who disagreed with him he raped women he married a year old he beheaded jews,religion
fuck you dumb nigger,ethnicity
rt stuffing up instant couscous should be an immediate elimination,not_cyberbullying
rt“ fuck obama dumb ass nigger” you lil racist ass bitch choke on a chainsaw you fucking dick sucking ass cracker fuck you,ethnicity
im a jerk pvper,other_cyberbullying
too bad i aint packing like that banana ðð,not_cyberbullying
went to my support group at guys hospital today with one of my daughters debbie she bought me lunch on the bank of the river thames then went to the meeting had a talk about radical prostatectomy by mr christian brown really interesting chatted with the group nice day,religion
both countries facing islamic terrorismisrael helped us many times during warchina pla also torturing hong kongers can u say against china,religion
sometimes i wonder if the girls who bullied me in middlehigh school would still have bullied me in college the answer is probably yes,age
in middle school i use to be insecure about being mixed i got bullied because kids didn’t understand how a brown skin girl could have a strong accent long hair amp exotic features amp then i hit high schooleveryone was obsessed w foreign mixed girls the bullying stopped,age
nan,age
girls who bullied me in high school are either a part of christian twitter and tweeting bibles verses or a part of cherry emoji twitter and tweeting pics of themselves licking knives there is no in between,age
would you like to explain what hindus are doing to muslims at the moment india you are either a fake troll account with an anti muslim agenda or a complete idiot you are totally fixated on muslims,religion
“ bruins lost to a dumb cotton picking purple dicked nigger choice” sheesh ignorant as fuck,ethnicity
where is the minority right in pakistan a christian woman had to ask asylum from western countrieswhy she has to plz answer this question first,religion
just a joke i thought gay rape was still cool around here,gender
id be happy to get an adult but leo wouldnt adjust well he thinks he is dominant to everything cant have a big dog he gets protective,other_cyberbullying
same like i said joke around with people you know be gay and say you gon rape them idc but don’t go around setting a bad reputation for others cause it really a bitch ass move,gender
none of them even none of them think why isis not attacking al sauds empire amp his supporters who played important role in spreading terrorism supplying terrorists one group of them brainwash minds of youths fill hatred by lies in name of islam amp quran bidats etc,religion
lets talk about corona this is a china virus chump not an american virus trump did not lie to china chump they lied to the world as hard as you idiots on the left want to blame our president he did x more to protect americans then muslim barry did during the hn,religion
i dont even feel like it he won bitch rt fuck obama dumb ass nigger,ethnicity
bedroom apartment,other_cyberbullying
shame on menaka you were minister in idiot government you were not aware where this incident happens bjp does not know other than muslims pakistan minority,religion
they did its called california,other_cyberbullying
we could do something fun with this i could see how many tweets you get from users youve blocked,not_cyberbullying
no youre just a pussy sexual abuse victims laugh at rape jokes all the time black dudes at racist jokes faggots at gay jokes women usually dont laugh at sexist jokes tho women are like that,gender
ur right about the second and the first one is kalagulabi ladkiyaan,ethnicity
why does kat always need to make big eyes you freak me out witch mkr,gender
newmusic bingsta productionswe got it records llc bully the game produced by,not_cyberbullying
anything can be joked about gays transgenders rape school shootings and race but people on twitter are whiny bitches who can’t take a joke unless it’s family friendly or political,gender
i hate it here why are they excusing the entire point of the show um you shouldn’t be letting people get away with bullying abuse rape fat ass jokes outing people kissing before their ready like tyler did or courtney for making it seem like hannah was the gay one,gender
seen comments from people who knew her at school say she was a bully not seen anything in her behaviour to doubt their word leopards and spots and all that,age
my brother always fucking makes gay and rape jokes i swear to fucking god it upsets me so much,gender
she will often not know it should be opt in not opt out so that he must be told or else they will hide it,gender
where is national treasury youre an idiot amalgamation of was an idea to help almajiri muslim poverty thicking region,religion
rt youre a dumb nigger shut the fuck up who what is an idylan lmfao get out,ethnicity
well peado’s rapists sadists who rape the life of a victim who is not jewish gay or black to make my life about themselves and abuse me cos they’re fraudulent scheming sadists who nick manipulate my life make it about themselves lie laugh in face lie more and joke about raping,gender
i love facebook because it reminds me when all the birthdays of the girls who bullied me in high school are,age
the perfect tour would be the devil wears prada a day to remember miss may i and memphis may fire make it happen,not_cyberbullying
nan,religion
thats right she stands as a christian woman who lies,religion
blumenthal is defending the men who do this to women,not_cyberbullying
alex feels like his life is ruined starting a new school midyear with no friends and a bully teasing him about being gay wasn’t his idea but when his outlandish teacher assigns him a dragon as a pen pal it may start an adventure that can turn alex’s life around sffpit mg fa,age
moms dads key word about school bullying awareness prevention involvementgt worth it to address the issue parenting bullying teach,not_cyberbullying
maybe i’m just an impatient person but this movie was waaaay too long the character development was solid though the movie’s about a middle school bully seeking redemption for his past mistakes it’s about seeking forgiveness and learning to forgive yourself,age
is anyone else disturbed that a fair number of people journos seem to think that making a gay prison rape joke is okay if its about someone they hate like roger stone nope its actually not okay its repulsive,gender
lolllllll,other_cyberbullying
nan,not_cyberbullying
nan,other_cyberbullying
girls who bullied me in high school are revolutions now and im imagination,age
days left gtlt,other_cyberbullying
she looks like the bully that went to church camp in middle school,age
nan,not_cyberbullying
the girl that bullied me in high school just named her child after me perspective people perspective,age
why on earth did i take this god awful fucking shift oh my god,other_cyberbullying
yeah if y’all ever catch me in this help cause there’s something wrong lmfaoooo i would never put on this “i’m a straight a’d white girl who bullied all the weird kids in middle n high school” outfit omfg,age
so youre saying gays can make rape jokes its ok rightsince they r a minorityamp u were in my mentions first mess,gender
headed back to the valley which means back to reality,not_cyberbullying
that black man was just treated like a nigger by espn he said nothing wrong did no harm molly q was briefed to do that in her ear wedge utterly disgusting and unjust amerikkka,ethnicity
social media promotion content creators like videos streams podcasts school bully i hate bullies you hate bullies nobody likes bullies ▼watch more sex in high school art of procrastinating …,age
guy bullies me through my school life i move a out the country randomly texts me trying to illegally sell beer dude if i wanted beer i wouldnt go to you even if it was the last lace available,age
a lot of indie game devs remind me a lot of foss devs its all about that passion im drawn to passion kind of in love with all of them,other_cyberbullying
onlyrealjamaicans eat bully beef outside fi avoid di gingi fly dem frm entering dem house,not_cyberbullying
actually i was referring more to people like mike pence social conservatives not conservatives in general trump isnt a socon radical christian extremists who support big government war and oppression,religion
after he tried pulling the you dont need to be here woman because im so senior and ive already done this,other_cyberbullying
nigger you dumb as fuck,ethnicity
er tweetdeck keeps lagigng out while im typing due to block lists multiple accounts p,other_cyberbullying
now i have to login to randiebooks and add him to the bot base blacklist so uh thanks for that,not_cyberbullying
cant believe the blonde bimboz made it throughthat sausage looked like feces mkr,gender
ignore them dont let them get to you they just judgmental idiots just be you ive been judged in here also for being a revert and posting crazy stuff where all good muslims,religion
they simply said that they were well able to overcome them,not_cyberbullying
hey i want to talk to you about life whats your address rt fuck obama dumb ass nigger,ethnicity
miles wanna get on facebook call anthony a nigger tho right dumb fuck,ethnicity
rape is rape and the fact that i read one post about a guy getting raped and the comments are calling him gay and he should be happy stfu and i really hope no one takes this as a joke tf you own no ones body you have no rights to do whatever you want to someone else,gender
great secularisti salute you madamei was reading the comments of your followersthese hindu and muslim religious fundamentalists destroy the whole world peacetreat them with what they deserve pray to supreme power to give sense of humanity to these idiots,religion
but basically the convo was re gay jokes rape jokes etc amp how people shouldnt stop telling those jokes even if they offend some people,gender
i was played a ton of sports as a child i even played rep basketball i was bullied by the girls at high school basketball tryouts and didn’t make the team so i stopped taking gym classes and playing sports and developed chronic depression i’ve struggled with for twenty years,age
i hate social media influencers man it’s really grown men out here on the internet living out their repressed dreams of being a “bad boy” bc they got bullied in high school and they couldn’t talk to girls until they were,age
all that collusion in the bsd community sure is hard to keep track of,other_cyberbullying
np bully eminemd,not_cyberbullying
nan,age
dont start with that im brown bullshit you are black you are a nigger you are filthy amp disgusting o lmao,ethnicity
lets raise slogan azzadi against radical islamic terrorism in india will u join me saba,religion
a girl who were bullying me like years ago left the school like four years ago cause inwas bullying her but she started and then everyone was like lori is a bully i dont like this story,age
nan,age
dude said he a chess master so i ask him why and how his reply had me in tears he said “i got a girl pregnant in high school so i told my parents i was getting bullied and we moved lol” outstanding move energy wc theslum,age
arabian whore rt fuck you too then dumb nigger rt yall ltltltltlt rt you gtgtgt rt you gt,ethnicity
dumb police trynna pull a nigger over betterluck fuck da police,ethnicity
if you tell me to get one of those weird hexa things i will never talk to you again,not_cyberbullying
i usually mix brands depending on how they fade sfx has fantastic pinks though nrage does some decent pinks too,other_cyberbullying
if you make jokes about rape or use gay as an insult unfollow me those arent things i can tolerate,gender
these feminazis really have a great time redefining english to mean i hate men in words,gender
then this rt fuck obama dumb ass nigger,ethnicity
i think the us would love to give heavy weapons to pesh but worry about relationship to iraqi government,not_cyberbullying
great shot there is a similar confluence in brazil near the city of manaus encontro das águas is where rio negro and the sandywhitecolored amazon river also called solimões river locally meet they run together for about km before mixing completely,ethnicity
rt when i see a stupid ass fucking tweet that makes no sense,other_cyberbullying
the thing w the evil tiktok nurses is so funny to me because i can literally open facebook and see the profiles of of the girls from high school who bullied me and others have careers as nursescarers,age
nan,gender
i dont care if were best friends i dont joke about rape being gay or killing myself and i wont acknowledge you if you do,gender
vice gandas sickness of being gay has no cure so dont overreact with the rape joke he has more personal issues than this,gender
leo doesnt like sharing but hes learning,other_cyberbullying
a typical two tongued snake that just cant keep the poison from oozing out of its mouth causing hate disruption and fear and destruction communist socialist and muslim worshiper all you democrat liberals happy idiots,religion
not only hold that person down but notice the goon jamming the baton into the ribs making that person gasp and take in more gas did these folks train in terrorist schools or are these home grown bullies doing whatever they like to inflict pain,age
it is so difficult to forget people who bully you in school but so important to forgive and move on thank you melanie for bringing this up in your tweet,age
lt ummer fayaz of rajjputana rifles has laid down his life by setting an examples to kashmiri youths and the meaning of real jihad which is against the terrorist who are curse to humanity and peaceevery youth should learn from his sacrificerest in peace braveheart,religion
so am i worthy of a good christian woman ridiculous of course not i’m not even worthy of life but god in his infinite mercy has for some reason seen fit to pay my ransom i have no right to complain about anything,religion
i was bullied horribly in eyc thanks mean girls but loved serving as an acolyte and led our acolyte guild as a high school senior being an acolyte was a way to participate deeply without negotiating horrible social situations,age
civil rights movement that she believes she was black in a past life i was shocked and didn’t have the language to articulate what was so wrong with that belief i still kick myself for not saying anything to her for letting it go i wish i had told her that if she actually,ethnicity
kapernick you stupid fucking nigger piece of shit how the fuck do you just fall down you dumb jitsoon moon cricket eggplant mother fucker,ethnicity
means longer life span for the game and more fun with people who are enjoying the game and more people to talk about the game d i cant manage past sor so content doesnt do anything for me but yay for game health,ethnicity
bitch u on blackpeopledickall in the tanning booth tryna get dark dumb ass get a realnigger in ya life white trash,ethnicity
or in this case measles jesus christ people are fucking stupid,other_cyberbullying
rt islamic state members say theyre following islam while nonmuslims who dont even read up on religion insist theyre not,religion
you think your pathetic digs that sound like a high school bully mean anything i am sure they make you feel all giddy about your own pathetic life,age
on the other hand you have the taliban isis alqueada and the muslim brotherhood to name a few that are all islamic terrorist organizations i don’t see christians going around beheading children in the name of allah the quran is shit deal with it turko,religion
yes for a christian woman that lying doesn’t seem right does it,religion
mehif myers regains form youll forget he ever existed armia and lemieux are great assets,gender
all these nurses and medical professionals on tiktok keep outing themselves people are shocked by how awful they are but none of this bs surprises me there are kind nurses but a lot of them behave like the mean girls that bullied us in high school,age
tell us about what you did in the past years why should we believe that you will do anything in the next years as you have done nothing in the past guess i “ain’t black”,ethnicity
isis takes certain parts of the quran and twists the meaning to justify what they are doing i have a question does kkk represent christianity with their actions i do not think so same thing with islam terrorist groups like isis claim that they represent islam but they don’t,religion
rt when you accidentally open your front camera,other_cyberbullying
oh like selling shoes i worked at a clothing store when i was going to school fucking hated it with all of my heart,other_cyberbullying
rt “ fuck obama dumb ass nigger” dam this oversized martha stewart lookin ass hatin,ethnicity
youre my feminazi godmother xxx,other_cyberbullying
nan,ethnicity
okay cool youre trying to bash kevin for saying gay but youre making rape jokes what the fuck,gender
rt the shit you hear about me might be true or it might be faker than the bitch who told it to ya,other_cyberbullying
rt im refusing to deal with this passenger thingsiwastoldaboutmyscrewdriver syd,other_cyberbullying
my nigger chelsea is dumb as fuck who doesnt like pupusas she probably only eat grilled cheese all day smh,ethnicity
aha the rape capital of the world blame it on the minority you idiot one third of the missing female in the world are from india blame that on muslims as well,religion
having gone to high school in la means i cannot go to any website to buy any bra without a girl who bullied me being the model in the photo wearing the bra,age
i don’t but my best friend does she hates it has been getting rid of it since she was bullied terribly when we were in middle school amp high school for it she doesn’t want biological girls amp one of the reasons is because she wouldn’t want them to be bullied amp tormented too,age
rt pretty sure i just saw you in silicon valley,other_cyberbullying
rt losing so hard,other_cyberbullying
true islam is what the muslims of pakistan and isis are doing the quran only orders the killing of kafirs even in india shaheen bagh has become a hub of terrorist activities shaheenbagh शाहीनबाग़,religion
a classic red lip is great for the holliday season but when you had a like gloss over top it instantly gland up any look,not_cyberbullying
years ago vs now forgot to change the hair color on the first one so just use ur imagination lol,ethnicity
gamergate is now literally an industry joke badass digest,other_cyberbullying
dumb fucksgo suck ya mammy dick bitch cus yall a bunch of lamesstupid boysgo readuuugghh dumb niggers,ethnicity
haha funny things i never talked shit about my friends just your dumb ass you wanna be nigger now get the fuck out,ethnicity
see look u white so i don’t expect u to understand what the significance of this is cuz u never had to look at anything past the surface but it’s bigger that the ncaa tunery he obviously doesn’t care it’s abt changeing the culture for young black men dummy,ethnicity
she never call herself a bad bitch she aint worried bout trends she dont care about competition with other females she hates gossip she aint up in everybody face she loves her natural beauty reality tv stars aint her role models she weird a complete sqaure i want her,gender
im so angry that bread roll alone should be auto exhile mkr,not_cyberbullying
thanks to all in my little twitter community who have said such positive things this person was a bully in high school too but i forgive her because i know where she comes from and how hard it is to be who she is in that community in any case thanks folks,age
just been told of another person ms sister being intimidated by a double glazing salesman im guessing it was dunraven the bully boys,other_cyberbullying
ca physically separates from us in a natural disaster ca decides to separate as a governmental entity as well proclaiming independence,other_cyberbullying
we didn’t just get top tho we got top also why lecister fans piping up all of a sudden youse have one first division title in ur years of existence,ethnicity
yeah break relations with the only me democracy that the muslims are trying to exterminate smart,religion
rt not sure womens darts should be on tv unless these too are just really bad seen better in the pub notsexist justshocking,gender
every time they discover anything its either incorrect or something ive said publicly on my blog they are useless,other_cyberbullying
hm,other_cyberbullying
idiot do have you read the sript see prepares for foreign news paper where we hindus are abused like we are terrorist and muslims are simple guys who we abuse and kill,religion
bhagavad gita and quran is not a textbook of instructions for you to just pick a chapter and quote you need to read them with a guru so you get the meaning right muslims get structured lessons hindus dont so idiots like u pickchoose amp quote randomly to suit your agenda,religion
dont fall for this thats the muslim way talk sweet spread brotherhood hes using sweet shit to lure you idiots when its time to jihad hell be the leading one thats what happened in kashmir,religion
you piss me off so much,other_cyberbullying
i love when girls who would bully me in high school ask me to do their hair like hey girl nahh i’ll pass on that bye,age
yes there is even more rape in muslim countries but it is not reported,religion
people are dying only in india innocent people are dying all over the world in the name of jihad so please teach lesson about humanity to terrorist firstdont teach this to indians we are always against war but if someone attack on us we will defend ourselves,religion
some dumb fuck called these big black dudes niggers take it from there neal,ethnicity
omg a youtube video that exposes the plot by china to do something however did everyone else but this select group of idiot savants miss this thank you q for shedding light on the great chinese or jewish or muslim conspiracy keeping white people down,religion
great documentary about douglas’s trip to ireland called “frederick douglas and the white negro”,ethnicity
you have always been an idiot ð¤£,other_cyberbullying
nope sorry you dont come back from a rape joke and a gay joke in the same interview ever hes a piece of trash plus his mustache is disgusting,gender
true i miss the days when all i ever have to worry about is passing my tests quizzes adulting is a whole new level of school with harder tasks to perform without fail and with occational meaner bullies along the way,age
who the fuck is this dumb new nigger doing carts he fucking sucks,ethnicity
hanging out in the dice lounge at developerweek if anyone wants to stop by and say hi,other_cyberbullying
u hv need to keep silent jihadin aunty u r not a journalist u such grt islamic terrorism pramoter and hiddn protecterits univrsal truth,religion
presented without comment,other_cyberbullying
nan,age
to them black negro is to point to their lineage and nuanced culture white americans arent called european unless if recent immigrants their americaness being denied while no african country given them citizenship or anything and whats meant for them shared for all,ethnicity
they are nothing but high school bullies reliving their glory days,age
rt if there was a god she would have fallen off mkr,not_cyberbullying
ive been called a spic by white liberals on numerous occasions youre not so innocent yourselves negro,ethnicity
you mistake my intentions rape jokes arent funny because they hurt people same goes for gay jokes handicapped etc,gender
yes if you commit one act of haram might as well give up being muslim altogether right idiot,religion
rt xxxtentacions fan base is fucking cancerous,other_cyberbullying
and looking at your page i can see that you are in the business of photoshopping images islamist cocksucker,religion
soon they will have to ask their uneducated moronic madrassa rats to do surgery a butcher knife and a prayer,religion
rt mosul christian pastor pauljacob was sentenced to death and beheaded by isis iraq,religion
i was working at cisco when this happened i remember watching the wording on their website change so they promoted their bsd work,other_cyberbullying
liberalism is dead this proves it stop burning and looting you idiots or be a man or a thug life type go to africa and help your people who are being enslaved by a muslim extremist cowards rest in peace sir i hope justice prevails,religion
nigga you dumb as shit felton is ass payless pg fagot you a welfare dumb nigger just go fuck yourself,ethnicity
i think the real question is why do you sign your tweets with kt you realize that your name is right there yeah,other_cyberbullying
mr javed u e get everything from india n indian maximum population is hindu n in ur conversation is always anti hindu n show that muslims is victims in india which is not true as of now ur mindset is effected by urban redical islamic terrorism,religion
